x_value,PID,PNAME,STATUS,CPU,NUM THREADS,MEMORY(MB)0,16496,voovmeetingapp.exe,running,0.00%,13,19.567
23,16496,voovmeetingapp.exe,running,0.00%,12,19.538
23,14920,voovmeetingapp.exe,running,0.00%,91,146.268
23,13316,voovmeetingapp.exe,running,0.00%,17,20.226
23,4264,voovmeetingapp.exe,running,0.00%,17,20.177
24,16496,voovmeetingapp.exe,running,0.00%,12,19.538
24,14920,voovmeetingapp.exe,running,0.00%,88,146.153
24,13316,voovmeetingapp.exe,running,0.00%,17,20.226
24,4264,voovmeetingapp.exe,running,0.00%,17,20.177
25,16496,voovmeetingapp.exe,running,0.00%,12,19.538
25,14920,voovmeetingapp.exe,running,0.00%,88,146.158
25,13316,voovmeetingapp.exe,running,0.00%,17,20.226
25,4264,voovmeetingapp.exe,running,0.00%,17,20.177
26,14920,voovmeetingapp.exe,running,3.12%,88,146.158
26,16496,voovmeetingapp.exe,running,0.00%,12,19.538
26,13316,voovmeetingapp.exe,running,0.00%,17,20.226
26,4264,voovmeetingapp.exe,running,0.00%,17,20.177
27,16496,voovmeetingapp.exe,running,0.00%,12,19.538
27,14920,voovmeetingapp.exe,running,0.00%,88,146.158
27,13316,voovmeetingapp.exe,running,0.00%,14,20.132
27,4264,voovmeetingapp.exe,running,0.00%,14,20.095
28,16496,voovmeetingapp.exe,running,0.00%,12,19.538
28,14920,voovmeetingapp.exe,running,0.00%,88,146.158
28,13316,voovmeetingapp.exe,running,0.00%,14,20.132
28,4264,voovmeetingapp.exe,running,0.00%,14,20.095
29,16496,voovmeetingapp.exe,running,0.00%,12,19.538
29,14920,voovmeetingapp.exe,running,0.00%,88,146.162
29,13316,voovmeetingapp.exe,running,0.00%,14,20.132
29,4264,voovmeetingapp.exe,running,0.00%,14,20.095
30,14920,voovmeetingapp.exe,running,3.12%,88,146.162
30,16496,voovmeetingapp.exe,running,0.00%,12,19.538
30,13316,voovmeetingapp.exe,running,0.00%,14,20.132
30,4264,voovmeetingapp.exe,running,0.00%,14,20.095
31,14920,voovmeetingapp.exe,running,1.93%,88,147.177
31,16496,voovmeetingapp.exe,running,0.00%,12,19.538
31,13316,voovmeetingapp.exe,running,0.00%,14,20.132
31,4264,voovmeetingapp.exe,running,0.00%,14,20.095
32,16496,voovmeetingapp.exe,running,0.00%,12,19.538
32,14920,voovmeetingapp.exe,running,0.00%,88,147.177
32,13316,voovmeetingapp.exe,running,0.00%,14,20.132
32,4264,voovmeetingapp.exe,running,0.00%,14,20.095
33,16496,voovmeetingapp.exe,running,0.00%,12,19.890
33,14920,voovmeetingapp.exe,running,0.00%,89,147.251
33,13316,voovmeetingapp.exe,running,0.00%,14,20.132
33,4264,voovmeetingapp.exe,running,0.00%,14,20.095
34,14920,voovmeetingapp.exe,running,5.55%,89,147.321
34,16496,voovmeetingapp.exe,running,0.00%,12,19.890
34,13316,voovmeetingapp.exe,running,0.00%,14,20.132
34,4264,voovmeetingapp.exe,running,0.00%,14,20.095
35,16496,voovmeetingapp.exe,running,0.00%,12,19.890
35,14920,voovmeetingapp.exe,running,0.00%,88,147.341
35,13316,voovmeetingapp.exe,running,0.00%,14,20.132
35,4264,voovmeetingapp.exe,running,0.00%,14,20.095
36,14920,voovmeetingapp.exe,running,3.12%,88,147.341
36,16496,voovmeetingapp.exe,running,0.00%,12,19.890
36,13316,voovmeetingapp.exe,running,0.00%,14,20.132
36,4264,voovmeetingapp.exe,running,0.00%,14,20.095
37,16496,voovmeetingapp.exe,running,0.00%,12,19.890
37,14920,voovmeetingapp.exe,running,0.00%,88,147.407
37,13316,voovmeetingapp.exe,running,0.00%,14,20.132
37,4264,voovmeetingapp.exe,running,0.00%,14,20.095
38,16496,voovmeetingapp.exe,running,0.00%,12,19.890
38,14920,voovmeetingapp.exe,running,0.00%,88,147.440
38,13316,voovmeetingapp.exe,running,0.00%,14,20.132
