x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed0,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,66.00B,0.00B,66.00B/s,0.00B/s
17,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,63.59KB,13.50KB,63.59KB/s,13.50KB/s
17,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
17,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,249.00B,377.00B,249.00B/s,377.00B/s
17,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
18,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,65.99KB,14.13KB,65.99KB/s,14.13KB/s
18,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
18,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,249.00B,377.00B,249.00B/s,377.00B/s
18,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
19,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.39KB,14.52KB,70.39KB/s,14.52KB/s
19,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
19,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,249.00B,377.00B,249.00B/s,377.00B/s
19,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
20,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.44KB,14.80KB,70.44KB/s,14.80KB/s
20,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
20,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,249.00B,377.00B,249.00B/s,377.00B/s
20,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
21,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.50KB,14.80KB,70.50KB/s,14.80KB/s
21,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
21,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,390.00B,642.00B,390.00B/s,642.00B/s
21,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
22,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.50KB,14.86KB,70.50KB/s,14.86KB/s
22,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
22,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
22,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
23,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.50KB,14.86KB,70.50KB/s,14.86KB/s
23,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
23,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
23,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
24,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.50KB,14.86KB,70.50KB/s,14.86KB/s
24,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
24,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
24,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
25,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.50KB,14.86KB,70.50KB/s,14.86KB/s
25,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
25,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
25,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
26,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.55KB,14.93KB,70.55KB/s,14.93KB/s
26,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
26,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
26,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
27,15572,voovmeetingapp.exe,2022-08-15 17:10:23.037486,70.55KB,14.93KB,70.55KB/s,14.93KB/s
27,18780,voovmeetingapp.exe,2022-08-15 17:10:23.037486,1.16KB,1.73KB,1.16KB/s,1.73KB/s
27,14920,voovmeetingapp.exe,2022-08-15 17:10:23.037486,555.00B,828.00B,555.00B/s,828.00B/s
27,6104,voovmeetingapp.exe,2022-08-15 17:10:23.037486,152.00B,229.00B,152.00B/s,229.00B/s
